criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
1,388,256,5629,20.4173737467861,75.66805226551683,55.250678518730744,90.41532807524396,311006.06938193535,Apoteket Lappugglan,Pajala kommun,Norrbottens,67.21054531943302,23.365846310573104
2,693,195,5754,6.042621431894226,51.02001842904489,44.97739699715066,49.95397850304409,258799.9423216049,Kronans Apotek Arvidsjaur,Arvidsjaurs kommun,Norrbottens,65.59290412562424,19.172992658005366
3,174,194,5263,11.515887220728711,60.15097387094757,48.63508665021886,61.5408607088451,255966.46104010186,Apotek Hjärtat Sveg,Härjedalens kommun,Jämtlands,62.0335018348689,14.364802532576057
4,203,307,8784,7.972666757743941,36.84305439277155,28.87038763502761,35.1357523401511,253597.4849860825,Apotek Hjärtat Älvsbyn,Älvsbyns kommun,Norrbottens,65.67356705606485,21.010844117500813
5,213,174,4652,14.823708954262772,69.02537575989213,54.20166680562936,69.19102268965987,252146.15397978778,"Apoteksgruppen Jokkmokk, Storgatan",Jokkmokks kommun,Norrbottens,66.60549726400977,19.83184140245481
6,193,411,16273,6.557826706461231,20.65658312603503,14.098756419573801,19.9168537868576,229429.06321572445,Apotek Hjärtat Vimmerby,Vimmerby kommun,Kalmar,57.66699712164115,15.85570616957777
7,327,370,12556,6.268607942680788,24.17284301718928,17.90423507450849,27.30326566613527,224805.57559552861,"Apoteksgruppen Åtvidaberg, Tilasvägen",Åtvidabergs kommun,Östergötlands,58.200998772958265,15.998531714181992
8,806,394,10049,7.478800563112611,27.772091648346777,20.29329108523417,27.263582740016957,203927.28211551817,Kronans Apotek Torsby,Torsby kommun,Värmlands,60.135298881085,13.007692354414289
9,821,294,5812,11.473182169494462,44.84205508853523,33.368872919040776,42.133274667620476,193939.889405465,Kronans Apotek Vilhelmina,Vilhelmina kommun,Västerbottens,64.62509700706903,16.653296804134893
10,554,411,11908,6.230201487519124,22.455350463598055,16.22514897607893,22.335338482667378,193209.07400714792,Apoteket Stjärnan,Sunne kommun,Värmlands,59.836559975849966,13.144242241558029
11,767,120,7036,5.8674349465401,32.79019355242774,26.922758605887637,33.91457074305883,189428.52955102542,Kronans Apotek Malung,Malung-Sälens kommun,Dalarnas,60.68460126845453,13.7139978763421
12,593,174,6838,7.832685325641917,34.987799072150864,27.15511374650895,33.90698991297482,185686.6677986282,Apoteket Tallen,Vansbro kommun,Dalarnas,60.51068755949241,14.223544490909061
13,42,316,15811,3.7636299618648907,15.191641492674016,11.428011530809124,14.650570577787546,180688.29031362306,Apotek Hjärtat Arboga,Arboga kommun,Västmanlands,59.39551699895679,15.840836335039517
14,370,453,8383,8.421402122240044,29.02301069083152,20.601608568591477,33.87573088660257,172703.28463050234,"Apoteksgruppen Valdemarsvik, Storgatan",Valdemarsviks kommun,Östergötlands,58.20420202041894,16.60217316971409
15,672,417,16650,7.3403957000258435,17.695190572440175,10.354794872414333,17.40843503831856,172407.33462569866,Apoteket Örnen,Norrtälje kommun,Stockholms,59.743881015860616,18.366171181218
16,791,203,4139,11.430687166350529,52.30675895017867,40.87607178382814,52.92275398500519,169186.06111326467,Kronans Apotek Storuman,Storumans kommun,Västerbottens,65.09519879526876,17.11240920000822
17,828,313,11827,6.3527097474119465,20.0486477931168,13.695938045704851,21.590713225358954,161981.85926655127,Kronans Apotek Vännäs,Vännäs kommun,Västerbottens,63.90690169974351,19.752293602307407
18,812,224,2220,24.830009014010482,97.23525493878428,72.40524592477381,104.2016185503874,160739.64595299785,Kronans Apotek Tärnaby Sjukstuga,Storumans kommun,Västerbottens,65.71647288532571,15.314492994050038
19,361,227,11324,6.382213642426224,20.343858518698998,13.961644876272775,18.29568139622929,158101.6665789129,"Apoteksgruppen Rättvik, Vasagatan",Rättviks kommun,Dalarnas,60.88408404579426,15.11821425695609
20,201,276,12308,3.852019115816188,16.552191107043875,12.70017199122769,15.375918457944472,156313.7168680304,Apotek Hjärtat Åmål,Åmåls kommun,Västra Götalands,59.05210079517007,12.703992605397389
21,416,412,9850,6.263485015985673,21.51455308331798,15.251068067332307,21.22006463694424,150223.02046322322,"Apoteksgruppen Emmaboda, Järnvägsgatan",Emmaboda kommun,Kalmar,56.63039632274444,15.53799227799654
22,210,166,5487,4.990134886490664,32.07805188767787,27.0879170011872,31.707391119253614,148631.40058551417,Apoteket Älgen,Strömsunds kommun,Jämtlands,63.85219903399485,15.559407421767782
23,289,405,9803,9.371297949501145,24.53071812863063,15.159420179129485,27.723380985458036,148607.79601600635,"Apoteksgruppen Kisa, Stora Torget",Kinda kommun,Östergötlands,57.987196284011944,15.632997450557907
24,577,277,13284,3.695062813385633,14.60743309792607,10.912370284540435,15.312934315507398,144959.92685983513,Apoteket Svanen,Tibro kommun,Västra Götalands,58.425400865352806,14.164601053030545
25,658,290,5378,14.666122005148702,41.490581897800894,26.82445989265219,44.81858002916935,144261.94530268348,"Apoteksgruppen Hammarstrand, Centralgatan",Ragunda kommun,Jämtlands,63.10770158750608,16.35570416595697
26,637,361,9610,6.166119965462472,20.729141947255936,14.563021981793462,20.106225100882448,139950.64124503516,"Apoteksgruppen Askersund, Sundsbrogatan",Askersunds kommun,Örebro,58.87929858599507,14.903301180736532
27,785,359,6982,12.807667894308201,32.78177841131768,19.974110517009482,29.202005256949512,139459.2396297602,Kronans Apotek Slite,Gotlands kommun,Gotlands,57.70390308542586,18.801699169372185
28,237,123,5150,5.9296648460661086,32.71372310124403,26.784058255177918,33.51314229030236,137937.90001416628,Apoteket Björnen,Älvdalens kommun,Dalarnas,61.23090161933464,14.037705053416481
29,419,364,10981,4.720098367739397,17.061009778819017,12.34091141107962,17.632903332092614,135515.5482050653,Apoteket Ljungen,Örkelljunga kommun,Skåne,56.28379995494147,13.276802617278477
30,822,282,6051,10.134011428175123,32.13869820844033,22.00468678026521,32.815325508487604,133150.35970738478,Kronans Apotek Vindeln Hälsocentral,Vindelns kommun,Västerbottens,64.20120331382878,19.71371046156035
31,335,179,7753,3.143263121061771,20.08132584540388,16.938062724342114,20.51165015664497,131320.8003018244,"Apoteksgruppen Filipstad, Viktoriagatan",Filipstads kommun,Värmlands,59.71310131528571,14.170994130736563
32,303,278,8150,7.212514601289823,23.123926423997105,15.911411822707281,22.037604672155258,129678.00635506434,"Apoteksgruppen Borgholm, Storgatan",Borgholms kommun,Kalmar,56.879399214594166,16.654703258256298
33,808,312,7968,6.272870502059342,22.471456202495617,16.198585700436276,26.362372732211593,129070.33086107623,Kronans Apotek Torsås,Torsås kommun,Kalmar,56.4119517093605,16.00133607896941
34,306,229,12744,4.225269759500572,14.084394849185086,9.859125089684515,15.245954419722127,125644.69014293946,Apoteket Hjorten,Lilla Edets kommun,Västra Götalands,58.134503621366235,12.12499735074852
35,445,207,3526,8.406121392189839,43.685831990704926,35.27971059851508,45.64611617818583,124396.25957036419,"Apoteksgruppen Malå, Storgatan",Malå kommun,Västerbottens,65.18140389402954,18.743198524881375
36,692,142,2457,10.994992019506258,61.301225254267464,50.30623323476121,59.44571765517209,123602.41505780829,Kronans Apotek Arjeplog,Arjeplogs kommun,Norrbottens,66.05219595005497,17.88949567996487
37,799,291,5614,15.046750220213653,37.01231824016763,21.965568019953977,40.85126725822225,123314.69886402163,Kronans Apotek Svenstavik,Bergs kommun,Jämtlands,62.764087602803194,14.431574980597262
38,372,367,9191,5.991144508357919,19.32147549103349,13.330330982675568,19.864514131562014,122519.07206177115,"Apoteksgruppen Vingåker, Bondegatan",Vingåkers kommun,Södermanlands,59.042897165705355,15.873094889428767
39,209,330,7690,8.488122311091653,24.152178849288802,15.66405653819715,24.962521804967125,120456.59477873608,Apotek Hjärtat Vårdcentralen Östervåla,Heby kommun,Uppsala,60.18201103087154,17.186707445678636
40,218,320,10851,4.631660927618811,15.589270797780241,10.957609870161429,15.90142321327372,118901.02470112167,"Apoteksgruppen Götene, Doktorsvägen",Götene kommun,Västra Götalands,58.527308670845635,13.494488846356484
41,341,237,8394,4.307777315160454,18.452187306419603,14.144409991259147,19.009988145751308,118728.17746662928,Apoteket Kronan,Hultsfreds kommun,Kalmar,57.48819758727411,15.842395421002678
42,48,306,8410,6.707511518591765,20.795880441517806,14.08836892292604,21.07963271524313,118483.182641808,Apotek Hjärtat Bengtsfors,Bengtsfors kommun,Västra Götalands,59.02869854188083,12.226101389526708
43,252,238,9477,2.355816950761967,14.801759058328503,12.445942107566538,15.203155420527182,117950.19335340807,Apoteket Dufwan,Osby kommun,Skåne,56.382297202118245,13.99479405954239
44,72,161,2882,14.025418297609736,54.932414596048055,40.906996298438315,52.777551035263606,117893.96333209923,Apotek Hjärtat Funäsdalen,Härjedalens kommun,Jämtlands,62.548904197112215,12.526007434891719
45,359,219,10669,3.413899573536837,14.461106881093972,11.047207307557137,13.217308480508205,117862.65476432709,"Apoteksgruppen Nora, Prästgatan",Nora kommun,Örebro,59.51990714183134,15.04038255689244
46,411,231,13906,4.841636766271379,13.170313781750567,8.328677015479188,14.18638954225961,115818.58257725359,Apoteket Linden,Bollebygds kommun,Västra Götalands,57.669599579996685,12.572002269565735
47,716,284,7915,6.719173176299897,21.330091818494797,14.610918642194898,24.915628792419906,115645.42105297261,Kronans Apotek Gränna Vårdcentral,Jönköpings kommun,Jönköpings,58.02620096419512,14.467897202153399
48,801,220,4447,23.792216568263026,49.222058955420835,25.429842387157816,42.07655882556453,113086.50909569081,Kronans Apotek Sälen Vårdcentral,Malung-Sälens kommun,Dalarnas,61.155502331930435,13.268906829805156
49,742,172,6843,4.738107345910715,21.218112003384178,16.480004657473465,23.00840669344962,112772.67187109092,Kronans Apotek Karlsborg,Karlsborgs kommun,Västra Götalands,58.53080445256535,14.511897635845784
50,749,203,12427,4.189474716909077,13.215173382688892,9.025698665779814,10.771105670305598,112162.35731964574,Kronans Apotek Kvissleby,Sundsvalls kommun,Västernorrlands,62.299399898616905,17.378306685998382
51,81,216,8183,5.621750797401706,19.195469148278907,13.5737183508772,19.06753999937794,111073.73726522813,Apotek Hjärtat Hagfors,Hagfors kommun,Värmlands,60.034397102360124,13.695307866075028
52,265,378,10443,6.442353996059482,17.04378731737718,10.601433321317698,17.290490351154126,110710.76817452072,"Apoteksgruppen Smålandsstenar, Torggatan",Gislaveds kommun,Jönköpings,57.1631439542443,13.41196765360539
53,447,295,6112,13.721642070156632,31.716478710725344,17.994836640568714,33.69730651947445,109984.44154715598,Apoteket Myrten,Örnsköldsviks kommun,Västernorrlands,63.44770059482739,18.109510100474655
54,340,446,7968,10.176808718326619,23.956339284264047,13.779530565937428,19.329198779495897,109795.29954938943,"Apoteksgruppen Hemse, Hagagatan",Gotlands kommun,Gotlands,57.23909996824183,18.37119284693513
55,279,171,12811,6.386677232088672,14.937522264504008,8.550845032415335,12.006366564098903,109544.87571027286,"Apoteksgruppen Skutskär, Skutskärs vårdcentral",Älvkarleby kommun,Uppsala,60.62626923623972,17.411603373042755
56,701,242,6417,5.621241610307524,22.568938730028815,16.947697119721287,22.31289499999494,108753.3724172515,Kronans Apotek Delsbo,Hudiksvalls kommun,Gävleborgs,61.800497361785034,16.557292119801826
57,581,158,3966,13.175727043939647,40.47757312219364,27.301846078253995,36.92316413591829,108279.12154635534,Apoteket Svarta Räven,Övertorneå kommun,Norrbottens,66.3891564029706,23.657364780708683
58,355,209,13293,4.324976143302136,12.440822871813248,8.115846728511112,13.946515544861851,107883.95056209821,"Apoteksgruppen Mariefred, Storgatan",Strängnäs kommun,Södermanlands,59.25939831840467,17.220712469617403
59,368,322,9854,5.764584294945391,16.683218520897718,10.918634225952328,17.34574615992903,107592.22166253424,Apoteket Kronan,Töreboda kommun,Västra Götalands,58.70739702990203,14.126392944463612
60,242,239,6727,5.33014863852913,21.296476843113023,15.966328204583894,21.094498775230974,107405.48983223585,"Apoteksgruppen Hällefors, Stationsvägen",Hällefors kommun,Örebro,59.783303698225595,14.520392346674273
61,238,236,3669,10.397689623742776,39.50965291022107,29.111963286478296,36.943871365908514,106811.79329808887,Apoteket Björnen,Överkalix kommun,Norrbottens,66.3248003342663,22.845206607724677
62,728,142,8515,2.51804349741423,14.815957611530159,12.297914114115928,15.231385348017831,104716.73868169713,Kronans Apotek Hjo Vårdcentral,Hjo kommun,Västra Götalands,58.30540288353964,14.292903308602419
63,653,252,11214,3.7515732848652354,12.929309412186683,9.177736127321447,12.964063214394946,102919.1329317827,"Kronans Apotek Vårgårda, Centrumgatan",Vårgårda kommun,Västra Götalands,58.032356813281936,12.810314203927426
64,564,119,12519,2.40815612418559,10.514718213835845,8.106562089650254,11.275382799503701,101486.05080033152,Apoteket Svanen,Alvesta kommun,Kronobergs,56.89970197330241,14.553692785553181
65,373,303,6175,5.624546627439042,22.03300895031996,16.40846232288092,20.68237667265056,101322.25484378968,Apoteket Kronan,Årjängs kommun,Värmlands,59.39178147756223,12.133141459577205
66,248,288,5926,8.892479446214159,25.945220491650524,17.052741045436363,29.78966486970044,101054.54343525588,Apoteket Diamanten,Robertsfors kommun,Västerbottens,64.19249957152223,20.850493710786324
67,533,200,17883,4.4242199450781206,10.041722635123858,5.617502690045736,8.835119374657786,100457.8006060879,Apoteket Älvängen,Ale kommun,Västra Götalands,57.96090019407849,12.125692928369299
68,832,123,2489,6.732784371209377,47.074845969554914,40.342061598345545,47.324303858552874,100411.39131828205,Kronans Apotek Åsele Sjukstuga,Åsele kommun,Västerbottens,64.16079878142376,17.3600044381745
69,339,391,9838,8.058293341891394,18.149116617546795,10.0908232756554,14.384143887627832,99273.51938589782,"Apoteksgruppen Heby, Brogatan",Heby kommun,Uppsala,59.94200004692461,16.86189864090027
70,139,256,6119,5.9307367449258575,22.071354982902008,16.14061823797615,21.19125804193393,98764.44299817606,Apotek Hjärtat Nordmaling,Nordmalings kommun,Västerbottens,63.569098194991156,19.49949257366737
71,762,181,10330,3.545737373514949,13.021545605628608,9.47580823211366,12.774771967795308,97885.09903773411,Kronans Apotek Ljusdal,Ljusdals kommun,Gävleborgs,61.828002532632006,16.09550801526361
72,622,163,4989,7.456953904105965,27.037139755391674,19.580185851285712,26.18278541008048,97685.54721206441,Apoteket Ugglan,Ånge kommun,Västernorrlands,62.524201283733596,15.659005749801727
73,709,384,12525,5.835930515309704,13.598354651894882,7.762424136585179,11.69216560218388,97224.36231072937,Kronans Apotek Flen,Flens kommun,Södermanlands,59.05929761370597,16.59060078951126
74,448,306,6813,4.6570446380857335,18.891068445565136,14.234023807479405,20.98165861205642,96976.40420035718,"Kronans Apotek Aneby, Köpmansgatan",Aneby kommun,Jönköpings,57.83905725501612,14.81589628206444
75,73,350,6910,7.089232356232514,21.08988145946598,14.000649103233464,18.579573088280082,96744.48530334323,Apotek Hjärtat Gamleby Centrum,Västerviks kommun,Kalmar,57.89770089693201,16.400098289663394
76,802,191,10640,4.7027084921752325,13.735421497076677,9.032713004901444,14.989732849379113,96108.06637215137,Kronans Apotek Säter,Säters kommun,Dalarnas,60.34690391006584,15.750708087658307
77,439,155,13305,3.063599313456859,10.270731369646999,7.20713205619014,10.843197259421201,95890.89200760981,"Apoteksgruppen Järna, Storgatan",Södertälje kommun,Stockholms,59.089509520616375,17.56633822180552
78,391,286,9348,5.100695271439322,15.347166478569742,10.24647120713042,14.80818779338687,95784.01284425516,Apoteket Laxen,Munkedals kommun,Västra Götalands,58.466401613869564,11.673674933826097
79,771,328,10515,5.090546513083663,14.19140816465832,9.100861651574656,12.469262097827757,95695.5602663075,Kronans Apotek Mullsjö,Mullsjö kommun,Jönköpings,57.916173859292286,13.880120069894694
